region,flow,mean,StandardDeviation
RUS,ammonia,0.000381,7.620000000000001e-05
RUE,ammonia,4.15e-05,8.3e-06
CHE,ammonia,0.00134,0.000268
BLX,ammonia,0.0007,0.00014000000000000001
ESP,ammonia,0.000106,2.12e-05
FIN,ammonia,0.000243,4.86e-05
FRA,ammonia,0.000187,3.74e-05
GRC,ammonia,0.000157,3.14e-05
ITA,ammonia,0.000518,0.00010360000000000001
RFA,ammonia,0.000482,9.640000000000001e-05
SWE,ammonia,0.000111,2.22e-05
TUR,ammonia,0.000228,4.5600000000000004e-05
BGR,ammonia,0.000353,7.060000000000001e-05
HUN,ammonia,0.000571,0.00011420000000000001
POL,ammonia,0.000476,9.520000000000001e-05
RCZ,ammonia,0.000652,0.0001304
ROM,ammonia,0.000446,8.92e-05
MEME,ammonia,0.000196,3.9200000000000004e-05
NOA,ammonia,6.39e-05,1.278e-05
EGY,ammonia,0.000759,0.0001518
GOLF,ammonia,0.000144,2.8800000000000002e-05
WAF,ammonia,1.48e-05,2.9600000000000005e-06
SAF,ammonia,4.08e-06,8.16e-07
RSA,ammonia,5.53e-05,1.106e-05
KAZ,ammonia,0.000121,2.4200000000000002e-05
RIS,ammonia,0.000355,7.1e-05
UKR,ammonia,0.000391,7.82e-05
COR,ammonia,0.000517,0.0001034
JPN,ammonia,0.000412,8.24e-05
AUS,ammonia,3.3e-06,6.6e-07
NZL,ammonia,5.83e-05,1.166e-05
MON,ammonia,8.23e-05,1.6459999999999998e-05
CHN,ammonia,0.000417,8.340000000000001e-05
RSAS,ammonia,0.000113,2.26e-05
IDN,ammonia,6.41e-06,1.282e-06
THA,ammonia,1.11e-05,2.2200000000000003e-06
MYS,ammonia,1.53e-05,3.06e-06
PHL,ammonia,7.99e-05,1.5980000000000003e-05
VNM,ammonia,7.21e-05,1.4420000000000001e-05
RSEA,ammonia,2.34e-05,4.68e-06
CAN,ammonia,8.12e-05,1.624e-05
USA,ammonia,0.000153,3.0600000000000005e-05
BRA,ammonia,1.09e-05,2.1800000000000003e-06
MEX,ammonia,4.23e-05,8.46e-06
CHL,ammonia,0.000243,4.86e-05
ARG,ammonia,6.44e-06,1.2880000000000002e-06
RSAM,ammonia,1.98e-05,3.96e-06
GBR,ammonia,0.000399,7.98e-05
RCAM,ammonia,2.46e-05,4.92e-06
PAC,ammonia,6.92e-06,1.384e-06
EAF,ammonia,7.92e-06,1.5840000000000002e-06
RCEU,ammonia,0.000356,7.12e-05
NOR,ammonia,3.87e-05,7.74e-06
NDE,ammonia,0.000173,3.46e-05
AUT,ammonia,0.000736,0.0001472
TWN,ammonia,0.000225,4.5e-05
RUS,pm2.5,0.00135,0.00027
RUE,pm2.5,0.000127,2.54e-05
CHE,pm2.5,0.00148,0.00029600000000000004
BLX,pm2.5,0.00129,0.000258
ESP,pm2.5,0.00061,0.000122
FIN,pm2.5,0.000238,4.7600000000000005e-05
FRA,pm2.5,0.000816,0.0001632
GRC,pm2.5,0.000654,0.0001308
ITA,pm2.5,0.00161,0.000322
RFA,pm2.5,0.00133,0.000266
SWE,pm2.5,0.00031,6.2e-05
TUR,pm2.5,0.000814,0.00016280000000000003
BGR,pm2.5,0.00122,0.000244
HUN,pm2.5,0.00144,0.000288
POL,pm2.5,0.000812,0.00016240000000000002
RCZ,pm2.5,0.00119,0.00023800000000000004
ROM,pm2.5,0.00171,0.000342
MEME,pm2.5,0.000755,0.000151
NOA,pm2.5,0.000663,0.0001326
EGY,pm2.5,0.00218,0.000436
GOLF,pm2.5,0.000563,0.00011260000000000001
WAF,pm2.5,0.000244,4.88e-05
SAF,pm2.5,6.26e-05,1.2520000000000002e-05
RSA,pm2.5,0.000315,6.3e-05
KAZ,pm2.5,0.000241,4.8200000000000006e-05
RIS,pm2.5,0.00108,0.00021600000000000002
UKR,pm2.5,0.00134,0.000268
COR,pm2.5,0.000696,0.0001392
JPN,pm2.5,0.00147,0.000294
AUS,pm2.5,2.03e-05,4.06e-06
NZL,pm2.5,9.4e-06,1.88e-06
MON,pm2.5,0.000718,0.0001436
CHN,pm2.5,0.0017,0.00034
RSAS,pm2.5,0.00402,0.000804
IDN,pm2.5,0.000188,3.76e-05
THA,pm2.5,0.000231,4.6200000000000005e-05
MYS,pm2.5,9.67e-05,1.934e-05
PHL,pm2.5,0.000561,0.0001122
VNM,pm2.5,0.000961,0.0001922
RSEA,pm2.5,0.000337,6.74e-05
CAN,pm2.5,8.78e-05,1.756e-05
USA,pm2.5,0.000455,9.1e-05
BRA,pm2.5,9.65e-05,1.93e-05
MEX,pm2.5,0.00022,4.4000000000000006e-05
CHL,pm2.5,0.000657,0.00013140000000000002
ARG,pm2.5,0.000213,4.2600000000000005e-05
RSAM,pm2.5,7.11e-05,1.422e-05
GBR,pm2.5,0.00127,0.00025400000000000005
RCAM,pm2.5,0.000158,3.16e-05
PAC,pm2.5,1.14e-05,2.2799999999999998e-06
EAF,pm2.5,0.000141,2.8200000000000004e-05
RCEU,pm2.5,0.000959,0.0001918
NOR,pm2.5,0.000246,4.92e-05
NDE,pm2.5,0.00336,0.0006720000000000001
AUT,pm2.5,0.0012,0.00023999999999999998
TWN,pm2.5,0.000351,7.020000000000001e-05
